	1\nnew_experiment\n	2\nnew_experiment\n	3\nnew_experiment\n	4\nnew_experiment\n	5\nnew_experiment\n	6\nnew_experiment\n	7\nnew_experiment\n	8\nnew_experiment\n	9\nnew_experiment\n	10\nnew_experiment\n	11\nnew_experiment\n	12\nnew_experiment\n	13\nnew_experiment\n	14\nnew_experiment\n	15\nnew_experiment\n	16\nnew_experiment\n	17\nnew_experiment\n	18\nnew_experiment\n	19\nnew_experiment\n	20\nnew_experiment\n	
1.4758	0.550512	0.360837	0.15622	0.0786981	0.0447159	0.0819397	-0.0179284	0.0481873	0.0052948	0.0520086	0.0893602	0.0726139	0.139364	0.134178	0.150685	0.134438	0.143242	0.179763	0.378722	0.169117	
1.47604	0.56613	0.363941	0.155896	0.0774552	0.0477982	0.0905609	-0.0197972	0.0563812	0.00953674	0.0429951	0.0892998	0.0647202	0.131929	0.107468	0.15973	0.138119	0.149746	0.170038	0.375794	0.160419	
1.47629	0.589074	0.36439	0.159793	0.0757939	0.0519905	0.0919952	-0.017726	0.0646515	0.0187378	0.039685	0.0776753	0.0619725	0.1242	0.0932541	0.167311	0.135745	0.147938	0.160663	0.378223	0.158211	
1.47653	0.61203	0.364838	0.168471	0.0741452	0.0561981	0.093441	-0.0156549	0.072937	0.0279846	0.0363868	0.0660629	0.0592247	0.116482	0.0790405	0.174891	0.133372	0.146133	0.151287	0.389171	0.156004	
1.47677	0.634986	0.365885	0.174161	0.0727882	0.0600853	0.0948753	-0.0138693	0.0812225	0.0372162	0.0330886	0.0544384	0.056477	0.109036	0.0654068	0.173474	0.130999	0.144325	0.141911	0.403845	0.145889	
1.47702	0.657943	0.366945	0.179864	0.0714439	0.0639839	0.0963211	-0.0120719	0.0895081	0.0464478	0.0297904	0.042826	0.0537413	0.101602	0.0517731	0.172056	0.128625	0.142521	0.132536	0.418531	0.135786	
1.47726	0.688237	0.377765	0.185155	0.0801312	0.0649033	0.0936584	-0.0112387	0.103714	0.0622864	0.0333386	0.037195	0.0455946	0.0988757	0.0468063	0.171013	0.124325	0.136799	0.132536	0.436045	0.130943	
1.4775	0.718531	0.398171	0.185678	0.0937011	0.0609283	0.0910072	-0.0149763	0.117905	0.0781097	0.0368988	0.0315761	0.0374599	0.0961615	0.0510788	0.169971	0.120025	0.131077	0.132536	0.445041	0.126099	
1.47775	0.748825	0.413179	0.179615	0.104215	0.0597	0.088356	-0.018714	0.138779	0.103516	0.0404589	0.0259572	0.0293131	0.0934356	0.050148	0.168928	0.115726	0.125355	0.132536	0.443743	0.121256	
1.47799	0.779119	0.4282	0.173564	0.114741	0.0584869	0.0857048	-0.0178689	0.164322	0.128937	0.0440191	0.0203383	0.0211784	0.0907214	0.0492325	0.167897	0.111426	0.119648	0.132547	0.433938	0.116424	
