	1\nnew_experiment\n	2\nnew_experiment\n	3\nnew_experiment\n	4\nnew_experiment\n	5\nnew_experiment\n	6\nnew_experiment\n	7\nnew_experiment\n	8\nnew_experiment\n	9\nnew_experiment\n	10\nnew_experiment\n	11\nnew_experiment\n	12\nnew_experiment\n	13\nnew_experiment\n	14\nnew_experiment\n	15\nnew_experiment\n	16\nnew_experiment\n	17\nnew_experiment\n	18\nnew_experiment\n	19\nnew_experiment\n	20\nnew_experiment\n	
3.64146	0.265711	0.273629	0.0617064	0.102147	0.0573082	0.0199852	0.196225	0.137177	0.0892944	-0.0219689	0.121309	-0.0352222	0.04949	0.128387	-0.0107314	0.0781398	0.067234	0.0493604	-0.0231459	0.0977985	
3.6417	0.258705	0.263146	0.0656533	0.103276	0.0581551	0.0108032	0.195939	0.129944	0.0937347	-0.0252075	0.119328	-0.0313779	0.0482155	0.127563	-0.000338919	0.0723723	0.0486832	0.050476	-0.0238447	0.0957888	
3.64194	0.251711	0.247876	0.0696002	0.104418	0.0589981	0.00163269	0.195653	0.122726	0.0982056	-0.0284462	0.117346	-0.0275334	0.0469411	0.126732	0.0100535	0.0666163	0.03759	0.0515916	-0.0245324	0.093779	
3.64219	0.248641	0.237742	0.0730615	0.108552	0.0587425	-0.00415802	0.197451	0.119812	0.1008	-0.0238621	0.119086	-0.0223875	0.0442151	0.129105	0.0160172	0.0585098	0.0324974	0.0544314	-0.0275715	0.0867065	
3.64243	0.253724	0.235597	0.0813163	0.112686	0.0584984	-0.00502777	0.203819	0.116913	0.103394	-0.019266	0.125478	-0.0172415	0.0414892	0.131485	0.0129826	0.0504147	0.0318794	0.0572824	-0.0306107	0.079634	
3.64267	0.264004	0.238228	0.0964315	0.114081	0.0582428	-0.000980377	0.207616	0.114288	0.104202	-0.0146699	0.128958	-0.0120956	0.0387632	0.136742	0.00601137	0.0423082	0.0336876	0.0519297	-0.0336498	0.0725615	
3.64292	0.274298	0.24087	0.111559	0.120359	0.0579987	0.00798416	0.211413	0.111694	0.10022	-0.0100739	0.132451	-0.00693756	0.0360491	0.13739	-0.000959888	0.0342131	0.0354919	0.046577	-0.036689	0.0655	
3.64316	0.284782	0.24001	0.1203	0.129871	0.0531425	0.0215607	0.21064	0.113235	0.0980225	-0.00319171	0.131871	-0.0034306	0.0355889	0.132256	-0.00596278	0.0272073	0.0367393	0.0484363	-0.0333393	0.0619418	
3.6434	0.295279	0.239163	0.129052	0.139395	0.0482979	0.0449753	0.209866	0.119446	0.100632	0.00369048	0.126662	7.63535e-05	0.0351404	0.131752	-0.0109657	0.020213	0.0379868	0.0575078	-0.0299895	0.0583945	
3.64365	0.300872	0.238302	0.133012	0.149211	0.0409851	0.0699234	0.215949	0.128159	0.109512	0.0105727	0.124065	0.00358333	0.034397	0.137596	-0.0114695	0.0220131	0.0437088	0.0682921	-0.0266398	0.0548363	
3.64389	0.306477	0.237455	0.136983	0.15904	0.0385933	0.0998077	0.226614	0.141541	0.118393	0.0174548	0.121467	0.00710234	0.0336654	0.143448	-0.0119616	0.0238248	0.049427	0.0834036	-0.023279	0.0512891	
3.64413	0.309981	0.239935	0.140694	0.16495	0.0465698	0.134186	0.245171	0.156036	0.126495	0.0100845	0.115135	0.00737952	0.0284377	0.147064	-0.00834122	0.0281017	0.0572014	0.0972868	-0.0154925	0.0464569	
3.64438	0.313484	0.242428	0.144417	0.17086	0.0594711	0.163643	0.268299	0.170517	0.129776	0.00272602	0.108815	0.00765671	0.0186785	0.150703	-0.00472084	0.03239	0.0649719	0.103969	-0.00770603	0.0416248	
3.64462	0.316987	0.244909	0.150517	0.181639	0.0699043	0.181831	0.288666	0.185303	0.126495	-0.00463244	0.102773	0.00793388	0.0119404	0.154037	-0.00166287	0.0366669	0.0679893	0.0988418	8.04365e-05	0.0367926	
3.64486	0.320503	0.247402	0.15185	0.192432	0.080349	0.183624	0.309033	0.200089	0.123215	-0.0119909	0.0967433	0.00822312	0.00521404	0.157379	0.00139511	0.0409552	0.0635529	0.0865025	0.0078669	0.0319715	
3.64511	0.326147	0.253872	0.148488	0.20098	0.0956879	0.172813	0.328352	0.213318	0.12262	-0.0155391	0.0898315	0.0154419	0.00253528	0.15831	0.00135996	0.0435809	0.0557556	0.0754252	0.0185816	0.0271393	
3.64535	0.331803	0.260354	0.140358	0.20954	0.111042	0.152168	0.340053	0.226547	0.126831	-0.0190874	0.0875718	0.0226607	0.00742075	0.154625	-0.00767338	0.0462181	0.0479622	0.064348	0.0292963	0.0223181	
3.64559	0.337447	0.266823	0.132215	0.209972	0.119328	0.126705	0.340707	0.237152	0.135223	-0.0226357	0.0919824	0.0298795	0.0155986	0.144302	-0.0161443	0.0488438	0.039978	0.0530904	0.0397448	0.017486	
3.64584	0.343103	0.273305	0.128866	0.210415	0.122715	0.101254	0.330709	0.252426	0.148407	-0.0261839	0.0963929	0.0371104	0.0237882	0.133972	-0.0246036	0.0514811	0.0319977	0.0418328	0.0502044	0.0126648	
3.64608	0.354364	0.273692	0.131119	0.210301	0.121231	0.0773544	0.316556	0.270584	0.159439	-0.0245288	0.0983021	0.0420876	0.0234224	0.125252	-0.0298642	0.0506211	0.0222092	0.0301808	0.0587341	0.0161022	
3.64632	0.365626	0.274078	0.138154	0.210187	0.119762	0.0616493	0.302402	0.288742	0.170532	-0.0228738	0.100223	0.0470648	0.0230566	0.116524	-0.0351249	0.0497611	0.0169067	0.0228561	0.0630155	0.0195506	
3.64657	0.376888	0.274464	0.14728	0.209921	0.108677	0.0511742	0.287583	0.30719	0.181854	-0.0212187	0.102145	0.0520421	0.0224076	0.107803	-0.0384172	0.0489012	0.0180359	0.0234646	0.0637365	0.0229881	
3.64681	0.388162	0.274851	0.156419	0.209655	0.0975952	0.0407104	0.272775	0.325638	0.193222	-0.0195518	0.104066	0.0570193	0.0217585	0.0990906	-0.0371987	0.0480412	0.0191689	0.0312852	0.0573698	0.0264364	
3.64705	0.401869	0.269653	0.162159	0.209287	0.0894623	0.0294647	0.259193	0.333237	0.202484	-0.0137055	0.110422	0.0550549	0.0188438	0.0974884	-0.0295245	0.0521346	0.0155296	0.0433428	0.0496609	0.0298739	
3.64729	0.41559	0.264455	0.163118	0.206484	0.0895271	0.018219	0.245624	0.34082	0.211716	-0.00784729	0.11679	0.0530906	0.0113976	0.0959015	-0.0218385	0.056228	0.0119057	0.0554005	0.0419632	0.0333223	
3.64754	0.429297	0.259257	0.156905	0.201703	0.0948067	0.00589752	0.229471	0.348419	0.216187	0.00685771	0.122868	0.0511262	0.00678352	0.0942993	-0.0203505	0.0515154	0.00828171	0.0575416	0.034088	0.0367597	
3.64778	0.443017	0.254059	0.150704	0.194499	0.100086	-0.00395203	0.217901	0.356018	0.220657	0.0215746	0.128946	0.0491738	0.00216946	0.0927124	-0.0233499	0.0468143	0.00465775	0.0524819	0.0262128	0.0402081	
3.64802	0.448572	0.248811	0.138465	0.187385	0.101467	-0.0085907	0.210366	0.350876	0.220505	0.034565	0.130904	0.0517408	0.00298372	0.0930328	-0.029501	0.0385702	0.00931931	0.0432639	0.0208554	0.0415369	
3.64827	0.454126	0.243563	0.121445	0.182705	0.102859	-0.00830841	0.202831	0.345718	0.220398	0.0429832	0.128233	0.0543077	0.00832939	0.0933609	-0.0356521	0.0303261	0.0139923	0.0340461	0.0197684	0.0428767	
3.64851	0.45968	0.238315	0.102831	0.182946	0.104256	-0.00269699	0.195868	0.340576	0.210663	0.0491153	0.128173	0.0568747	0.0111262	0.0939789	-0.0398349	0.022082	0.0183868	0.0308682	0.0162745	0.0442056	
3.64875	0.465248	0.233067	0.0842298	0.185622	0.105648	0.00538254	0.188916	0.335419	0.200958	0.0476388	0.128112	0.0594417	0.0139229	0.0946045	-0.0395068	0.0138378	0.0227776	0.0320176	0.0127917	0.0455454	
3.649	0.470802	0.234999	0.073684	0.185102	0.0994606	0.0121193	0.186238	0.323792	0.195145	0.0429118	0.131617	0.0620086	0.0217231	0.100029	-0.0346914	0.0175184	0.0245514	0.0352405	0.0126697	0.0503885	
3.64924	0.476369	0.236931	0.0711067	0.179712	0.0932846	0.0106621	0.188142	0.312149	0.189301	0.0381966	0.135133	0.0645756	0.0295233	0.110085	-0.0253651	0.0211991	0.0218582	0.0427907	0.0125587	0.0552426	
3.64948	0.481923	0.238863	0.0733105	0.175844	0.0871086	-0.000740051	0.187464	0.292755	0.193069	0.0329933	0.138649	0.0671425	0.0395893	0.119652	-0.0138011	0.0248797	0.0130157	0.0527748	0.0121816	0.0600858	
3.64973	0.48749	0.240796	0.0755267	0.174423	0.0809364	-0.0145836	0.186797	0.273361	0.196838	0.0278019	0.142166	0.0697215	0.0451238	0.124611	-0.00222526	0.0285718	0.00416946	0.0699823	0.0118045	0.0649399	
3.64997	0.500663	0.246193	0.0765103	0.172559	0.077446	-0.0227432	0.188809	0.246765	0.20697	0.0224319	0.145175	0.0688056	0.0452654	0.122063	0.00916307	0.0309682	-0.00432587	0.0935793	0.0111168	0.058702	
3.65021	0.513835	0.251603	0.0727128	0.170695	0.073967	-0.0259857	0.190832	0.220154	0.217102	0.0170738	0.148196	0.0679017	0.0408874	0.111809	0.0205514	0.0333646	-0.0083313	0.117176	0.00618094	0.0524751	
3.65046	0.527008	0.257001	0.0625406	0.168983	0.0704918	-0.025074	0.192856	0.193558	0.217636	0.0117157	0.151217	0.0669858	0.0342318	0.105598	0.0271595	0.035761	-0.0103836	0.132029	-0.00320275	0.0462483	
3.6507	0.540193	0.26241	0.0523808	0.167271	0.0670128	-0.0192337	0.19488	0.166962	0.218185	0.00635763	0.154237	0.066082	0.027588	0.0994034	0.0262807	0.0381574	-0.0124359	0.136784	-0.0125754	0.0400214	
3.65094	0.566207	0.260628	0.0507747	0.169617	0.0635223	-0.0117683	0.194618	0.145111	0.210312	0.000999525	0.159856	0.0571639	0.023859	0.0921326	0.0222034	0.0405539	-0.00983429	0.12982	-0.0192083	0.0322021	
